u_id,d_id,upload_date
74282,1,2022-10-29
23653,2,2022-02-30
631708,3,2022-09-03
3583,4,2022-09-16
297242,5,2022-04-03
577555,6,2022-02-29
436958,7,2022-12-07
143715,8,2022-11-11
790899,9,2022-05-17
487288,10,2022-05-25
901922,11,2022-11-08
601781,12,2022-10-27
59313,13,2022-03-13
674092,14,2022-09-05
394635,15,2022-07-05
860768,16,2022-05-17
418353,17,2022-11-11
655971,18,2022-03-23
753494,19,2022-08-29
720950,20,2022-01-12
40223,21,2022-07-08
758314,22,2022-02-08
387604,23,2022-07-06
818662,24,2022-07-17
271921,25,2022-10-03
804626,26,2022-01-19
698971,27,2022-01-19
172278,28,2022-07-02
168324,29,2022-03-25
271322,30,2022-08-23
916063,31,2022-03-18
389230,32,2022-04-24
518467,33,2022-11-29
133910,34,2022-06-03
354228,35,2022-04-13
806197,36,2022-11-29
136961,37,2022-11-28
306940,38,2022-07-08
106180,39,2022-11-18
972661,40,2022-11-21
860825,41,2022-12-28
404970,42,2022-01-10
373889,43,2022-03-24
777945,44,2022-09-16
31244,45,2022-09-17
953337,46,2022-02-05
92455,47,2022-03-05
542167,48,2022-04-03
266274,49,2022-07-04
371480,50,2022-12-23
873285,51,2022-03-05
807528,52,2022-09-07
487228,53,2022-05-28
302217,54,2022-06-18
912118,55,2022-10-03
269932,56,2022-06-22
129525,57,2022-05-09
402411,58,2022-06-27
713093,59,2022-01-22
853535,60,2022-06-27
416857,61,2022-11-04
838795,62,2022-10-02
346982,63,2022-09-05
378665,64,2022-01-14
63921,65,2022-05-20
234037,66,2022-08-12
240262,67,2022-11-06
847359,68,2022-02-20
547974,69,2022-03-03
100747,70,2022-06-23
829930,71,2022-10-07
184073,72,2022-11-24
841593,73,2022-01-18
614001,74,2022-09-29
167455,75,2022-07-04
449626,76,2022-05-07
729640,77,2022-07-20
846697,78,2022-08-01
470081,79,2022-09-24
194499,80,2022-06-08
417029,81,2022-01-12
518441,82,2022-04-30
852693,83,2022-06-06
28298,84,2022-07-24
964424,85,2022-09-16
709669,86,2022-01-16
132177,87,2022-09-14
899898,88,2022-03-07
669957,89,2022-06-04
503571,90,2022-09-17
594382,91,2022-06-26
584854,92,2022-10-01
298587,93,2022-06-04
47059,94,2022-11-15
470876,95,2022-08-05
743163,96,2022-04-13
176494,97,2022-12-03
451424,98,2022-12-05
659692,99,2022-10-07
622766,100,2022-07-20
835476,101,2022-05-24
668199,102,2022-08-22
201479,103,2022-02-08
446319,104,2022-01-22
682741,105,2022-11-08
826297,106,2022-12-27
652845,107,2022-02-02
552769,108,2022-05-18
769649,109,2022-10-30
971454,110,2022-11-07
427429,111,2022-10-30
80474,112,2022-10-22
1904,113,2022-05-02
770017,114,2022-12-27
790441,115,2022-07-12
400289,116,2022-07-12
52062,117,2022-07-09
152689,118,2022-02-27
392038,119,2022-03-22
463188,120,2022-03-22
63873,121,2022-04-04
97386,122,2022-07-29
915500,123,2022-08-04
155256,124,2022-05-30
711663,125,2022-09-26
640542,126,2022-06-16
483278,127,2022-11-03
796105,128,2022-06-25
768820,129,2022-07-05
544755,130,2022-02-30
645857,131,2022-10-15
334058,132,2022-02-05
855376,133,2022-03-21
670445,134,2022-01-15
331009,135,2022-08-16
720607,136,2022-11-29
744154,137,2022-12-04
895417,138,2022-11-02
4328,139,2022-03-04
27531,140,2022-06-04
390778,141,2022-04-12
402377,142,2022-02-17
613153,143,2022-01-08
821421,144,2022-12-30
965615,145,2022-06-03
781945,146,2022-10-09
227244,147,2022-11-11
312341,148,2022-02-03
436970,149,2022-05-23
480117,150,2022-09-29
979005,151,2022-10-13
587181,152,2022-03-20
173078,153,2022-06-10
368093,154,2022-09-25
803642,155,2022-12-11
372102,156,2022-06-15
814763,157,2022-07-28
101308,158,2022-09-06
434025,159,2022-08-25
916998,160,2022-03-17
987548,161,2022-07-25
879609,162,2022-07-23
103786,163,2022-06-16
111976,164,2022-06-15
755135,165,2022-01-05
965889,166,2022-10-12
450415,167,2022-03-09
33743,168,2022-10-27
275354,169,2022-11-03
381409,170,2022-01-26
339090,171,2022-11-06
313536,172,2022-11-18
284358,173,2022-09-13
221650,174,2022-12-24
729836,175,2022-07-21
884026,176,2022-11-28
913913,177,2022-06-22
835742,178,2022-06-15
79295,179,2022-07-09
777050,180,2022-12-12
72213,181,2022-11-04
601514,182,2022-06-27
849426,183,2022-10-09
928523,184,2022-09-25
945907,185,2022-04-24
