article,author,url,DOI,year
A Review on Artificial Intelligence with Deep Human Reasoning,"Janmanchi Harika;
Palavadi Baleeshwar;
Kummari Navya;
Hariharan Shanmugasundaram",https://ieeexplore.ieee.org/document/9793310/,10.1109/ICAAIC53929.2022.9793310,Year: 2022
How do we move towards true artificial intelligence,"Wei Liu;
Guangda Zhuang;
Xin Liu;
Shaobo Hu;
Ruilin He;
Yuhu Wang",https://ieeexplore.ieee.org/document/9781007/,10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00321,Year: 2021
Extension of media literacy from the perspective of artificial intelligence and implementation strategies of artificial intelligence courses in junior high schools,"HAOYU WANG;
YONG LIU;
ZIFENG HAN;
JIANZHANG WU",https://ieeexplore.ieee.org/document/9262581/,10.1109/ICAIE50891.2020.00022,Year: 2020
Design of High-Confidence Embedded Operating System based on Artificial Intelligence and Smart Chips,Qinmin Ma,https://ieeexplore.ieee.org/document/9742917/,10.1109/ICAIS53314.2022.9742917,Year: 2022
Research on the Application of Financial Intelligence Based on Artificial Intelligence Technology,Jinhua Ma,https://ieeexplore.ieee.org/document/9534542/,10.1109/ICAIE53562.2021.00022,Year: 2021
Research on Artificial Intelligence Algorithm and Its Application in Games,"Cundong Tang;
Zhiping Wang;
Xiuxiu Sima;
Lingxiao Zhang",https://ieeexplore.ieee.org/document/9425971/,10.1109/AIAM50918.2020.00085,Year: 2020
The Development of Students' Computational Thinking Practices in AI Course Using the Game-Based Learning: A Case Study,"Jingsi Ma;
Yi Zhang;
Hesiqi Bin;
Kang Wang;
Jinfang Liu;
Hanrui Gao",https://ieeexplore.ieee.org/document/9867127/,10.1109/ISET55194.2022.00065,Year: 2022
Artificial Intelligence Aided Innovation Education Based on Multiple Intelligence,"Fasain Lo;
Fangfang Su;
Shaoze Chen;
Jinfeng Qiu;
Jiong Du",https://ieeexplore.ieee.org/document/9544874/,10.1109/ICAIRC52191.2021.9544874,Year: 2021
Prediction Using Knowledge Growing System: A Cognitive Artificial Intelligence Approach,"Arwin Datumaya Wahyudi Sumari;
Rosa Andrie Asmara;
Dimas Rossiawan Hendra Putra;
Ika Noer Syamsiana",https://ieeexplore.ieee.org/document/9587367/,10.1109/IEIT53149.2021.9587367,Year: 2021
The Risks and Countermeasures of Accounting Artificial Intelligence,"Chunling Zhu;
Yutong Guan",https://ieeexplore.ieee.org/document/9750746/,10.1109/IWECAI55315.2022.00076,Year: 2022
IEE Colloquium on 'The Application of Artificial Intelligence Techniques to Signal Processing' (Digest No.42),"IEE Colloquium on Application of Artificial Intelligence Techniques to Signal Processing
Year: 1989 | Conference Paper | Publisher: IET",https://ieeexplore.ieee.org/document/198054/,,Year: 1989
IEE Colloquium on 'Software Engineering and AI (Artificial Intelligence)' (Digest No.087),"IEE Colloquium on Software Engineering and AI (Artificial Intelligence) (Digest No.087)
Year: 1992 | Conference Paper | Publisher: IET",https://ieeexplore.ieee.org/document/168189/,,Year: 1992
Analysis on the Influence of Artificial Intelligence Development on Accounting,Zhang Li,https://ieeexplore.ieee.org/document/9196245/,10.1109/ICBAIE49996.2020.00061,Year: 2020
Artificial Intelligence Governance Capability Association Model based on Closed-loop Control Theory,Yong Zhang,https://ieeexplore.ieee.org/document/9338966/,10.1109/ITAIC49862.2020.9338966,Year: 2020
New Requirements of Teacher Professionalization for Emotional Labor and Psychological Capital in the Age of Artificial Intelligence,Jin Jiao,https://ieeexplore.ieee.org/document/9534591/,10.1109/ICAIE53562.2021.00045,Year: 2021
The Application of Interactive Artificial Intelligence in the Intelligent Integration of Infants Playing Teaching Aids,Huihong Wang,https://ieeexplore.ieee.org/document/9792590/,10.1109/ICAAIC53929.2022.9792590,Year: 2022
Application of Artificial Intelligence in Large-scale International Wushu (Taolu) Events,Yi Ke,https://ieeexplore.ieee.org/document/9696037/,10.1109/ICBASE53849.2021.00113,Year: 2021
Correlation analysis of financial indicators and stock price fluctuations based on artificial intelligence system,Shu Chen,https://ieeexplore.ieee.org/document/9395944/,10.1109/ICAIS50930.2021.9395944,Year: 2021
