article,author,url,DOI,year
Application of nonlinear filter on the position estimation of dynamic positioned ship,"Fuguang Ding;
Yuanhui Wang;
Jinfeng Tan",https://ieeexplore.ieee.org/document/5970680/,10.1109/WCICA.2011.5970680,Year: 2011
Robust adaptive nonlinear controller design for dynamic positioning system of ships,"Du Jialu;
Yang Yang;
Li Guangqiang;
Li Wenhua",https://ieeexplore.ieee.org/document/6390053/,,Year: 2012
The design of adaptive nonlinear controller for dynamic positioning system of ships,"Jialu Du;
Xianku Zhang;
Siyuan Wang;
Feng Jiang",https://ieeexplore.ieee.org/document/5572884/,,Year: 2010
Research on High Precision Dynamic Relative Positioning Technology Based on the Third Generation BDS,"Wei Jia;
Chenglin Cai;
Qian Wu;
Shuai Li;
Jie Zheng",https://ieeexplore.ieee.org/document/9332410/,10.1109/IICSPI51290.2020.9332410,Year: 2020
Research on nonlinear model predictive control technology for ship dynamic positioning system,"Yuanhui Wang;
Yufeng Sui;
Jing Wu;
Jianfang Jiao",https://ieeexplore.ieee.org/document/6308235/,10.1109/ICAL.2012.6308235,Year: 2012
Research on Laser Navigation AGV Positioning Technology Based on Dynamic Matching,"Zhao Liang;
Chen Junwei;
Liang Zhi",https://ieeexplore.ieee.org/document/9409497/,10.1109/WCMEIM52463.2020.00016,Year: 2020
A synchronization position control method based on dynamic particle swarm optimization algorithm in electro-hydraulic servo system,Linghong Lai,https://ieeexplore.ieee.org/document/6737797/,10.1049/cp.2013.2031,Year: 2013
Operator Panel Design for Dynamic Positioning Simulator,"Zhen Zhang;
Dengfeng Wu",https://ieeexplore.ieee.org/document/8623116/,10.1109/CAC.2018.8623116,Year: 2018
Dynamic feedback linearizing force/position control of robot manipulator without velocity measurement,"W. Yim;
S.N. Singh",https://ieeexplore.ieee.org/document/652902/,10.1109/AIM.1997.652902,Year: 1997
A Nonlinear Sate Estimate for Dynamic Positioning Based on Improved Particle Filter,"Yongjia Chen;
Xuanfang Yang;
Runqi Liu",https://ieeexplore.ieee.org/document/8469693/,10.1109/IMCEC.2018.8469693,Year: 2018
Accelerometer assisted robust wireless signal positioning based on a hidden Markov model,"Jingbin Liu;
Ruizhi Chen;
Ling Pei;
Wei Chen;
Tomi Tenhunen;
Heidi Kuusniemi;
Tuomo Kröger;
Yuwei Chen",https://ieeexplore.ieee.org/document/5507251/,10.1109/PLANS.2010.5507251,Year: 2010
