article,author,url,DOI,year
Securing IoT Devices and SecurelyConnecting the Dots Using REST API and Middleware,"Hittu Garg;
Mayank Dave",https://ieeexplore.ieee.org/document/8777334/,10.1109/IoT-SIU.2019.8777334,Year: 2019
IOT based Electrical Device Surveillance and Control System,"Alok Kumar Gupta;
Rahul Johari",https://ieeexplore.ieee.org/document/8777342/,10.1109/IoT-SIU.2019.8777342,Year: 2019
A novel IoT access architecture for vehicle monitoring system,"Shulong Wang;
Yibin Hou;
Fang Gao;
Xinrong Ji",https://ieeexplore.ieee.org/document/7845396/,10.1109/WF-IoT.2016.7845396,Year: 2016
IoT: Challenges and Issues in Indian Perspective,"Er. Pooja Yadav;
Er. Ankur Mittal;
Hemant Yadav",https://ieeexplore.ieee.org/document/8519869/,10.1109/IoT-SIU.2018.8519869,Year: 2018
Smart Energy Efficient Home Automation System Using IoT,"Satyendra K. Vishwakarma;
Prashant Upadhyaya;
Babita Kumari;
Arun Kumar Mishra",https://ieeexplore.ieee.org/document/8777607/,10.1109/IoT-SIU.2019.8777607,Year: 2019
Export and Import of Renewable energy by Hybrid MicroGrid via IoT,"Deepak Kumar Aagri;
Altanai Bisht",https://ieeexplore.ieee.org/document/8519873/,10.1109/IoT-SIU.2018.8519873,Year: 2018
Automated Enhanced Learning System using IOT,"Amit Saxena;
Kshitij Shinghal;
Rajul Misra;
Alok Agarwal",https://ieeexplore.ieee.org/document/8777711/,10.1109/IoT-SIU.2019.8777711,Year: 2019
IoT Based Dipstick Type Engine Oil Level and Impurities Monitoring System: A Portable Online Spectrophotometer,"Sidharth Sharma;
Supankar Das;
Jitendra Virmani;
Mamta Sharma;
Satbir Singh;
Amitava Das",https://ieeexplore.ieee.org/document/8777703/,10.1109/IoT-SIU.2019.8777703,Year: 2019
Docker container based analytics at IoT edge Video analytics usecase,Pankaj Mendki,https://ieeexplore.ieee.org/document/8519852/,10.1109/IoT-SIU.2018.8519852,Year: 2018
SAT-IoT: An Architectural Model for a High-Performance Fog/Edge/Cloud IoT Platform,"Miguel Angel López Peña;
Isabel Muñoz Fernández",https://ieeexplore.ieee.org/document/8767282/,10.1109/WF-IoT.2019.8767282,Year: 2019
"CRAIoT: Concept, Review and Application(s) of IoT","Sapna Chaudhary;
Rahul Johari;
Riya Bhatia;
Kalpana Gupta;
Aditi Bhatnagar",https://ieeexplore.ieee.org/document/8777467/,10.1109/IoT-SIU.2019.8777467,Year: 2019
Mood Board: An IoT based Group Mood Evaluation Tool,"Shikhar Makhija;
Bimlesh Wadhwa",https://ieeexplore.ieee.org/document/8777677/,10.1109/IoT-SIU.2019.8777677,Year: 2019
Semantic open IoT service platform technology,"Dong-Hwan Park;
Hyo-Chan Bang;
Cheol Sik Pyo;
Soon-Ju Kang",https://ieeexplore.ieee.org/document/6803125/,10.1109/WF-IoT.2014.6803125,Year: 2014
Automation in Agriculture and IoT,"Vaishali Puranik;
Sharmila;
Ankit Ranjan;
Anamika Kumari",https://ieeexplore.ieee.org/document/8777619/,10.1109/IoT-SIU.2019.8777619,Year: 2019
Automated Irrigation System-IoT Based Approach,"Dweepayan Mishra;
Arzeena Khan;
Rajeev Tiwari;
Shuchi Upadhay",https://ieeexplore.ieee.org/document/8519886/,10.1109/IoT-SIU.2018.8519886,Year: 2018
SSTL IO Based WLAN Channel Specific Energy Efficient RAM Design for Internet of Thing,"Abhay Saxena;
Ashutosh Bhatt;
Chandrashekhar Patel",https://ieeexplore.ieee.org/document/8519899/,10.1109/IoT-SIU.2018.8519899,Year: 2018
"A survey on technological, business and societal aspects of Internet of Things by Q3, 2017","Koustav Routh;
Tannistha Pal",https://ieeexplore.ieee.org/document/8519898/,10.1109/IoT-SIU.2018.8519898,Year: 2018
IoT and cloud convergence: Opportunities and challenges,"Abdur Rahim Biswas;
Raffaele Giaffreda",https://ieeexplore.ieee.org/document/6803194/,10.1109/WF-IoT.2014.6803194,Year: 2014
Automated Toll Tax Collection System using Cloud Database,"Etqad Khan;
Dipesh Garg;
Rajeev Tiwari;
Shuchi Upadhyay",https://ieeexplore.ieee.org/document/8519929/,10.1109/IoT-SIU.2018.8519929,Year: 2018
"The deployment of an IoT network infrastructure, as a localised regional service","John Fox;
Andrew Donnellan;
Liam Doumen",https://ieeexplore.ieee.org/document/8767188/,10.1109/WF-IoT.2019.8767188,Year: 2019
NFV enabled IoT architecture for an operating room environment,"Igor Miladinovic;
Sigrid Schefer-Wenzl",https://ieeexplore.ieee.org/document/8355128/,10.1109/WF-IoT.2018.8355128,Year: 2018
Digital Outing System Using RFID And Raspberry Pi With MQTT Protocol,"Akansh Saxena;
Mitul Tyagi;
Pawan Singh",https://ieeexplore.ieee.org/document/8519923/,10.1109/IoT-SIU.2018.8519923,Year: 2018
Communication Protocol Stack for Constrained IoT Systems,"Cheena Sharma;
Naveen Kumar Gondhi",https://ieeexplore.ieee.org/document/8519904/,10.1109/IoT-SIU.2018.8519904,Year: 2018
A secure multi-hop routing for IoT communication,"Paul Loh Ruen Chze;
Kan Siew Leong",https://ieeexplore.ieee.org/document/6803204/,10.1109/WF-IoT.2014.6803204,Year: 2014
