article,author,url,DOI,year
Informed Machine Learning - A Taxonomy and Survey of Integrating Prior Knowledge into Learning Systems,"Laura von Rueden;
Sebastian Mayer;
Katharina Beckh;
Bogdan Georgiev;
Sven Giesselbach;
Raoul Heese;
Birgit Kirsch;
Michal Walczak;
Julius Pfrommer;
Annika Pick;
Rajkumar Ramamurthy;
Jochen Garcke;
Christian Bauckhage;
Jannis Schuecker",https://ieeexplore.ieee.org/document/9429985/,10.1109/TKDE.2021.3079836,Year: 2021
Survey on lie group machine learning,"Mei Lu;
Fanzhang Li",https://ieeexplore.ieee.org/document/9259191/,10.26599/BDMA.2020.9020011,Year: 2020
A fuzzy classification method based on support vector machine,"Qiang He;
Xi-Zhao Wang;
Hong-Jie Xing",https://ieeexplore.ieee.org/document/1259676/,10.1109/ICMLC.2003.1259676,Year: 2003
Using Support Vector Machines to Classify Student Attentiveness for the Development of Personalized Learning Systems,"Manus Ross;
Corey A. Graves;
John W. Campbell;
Jung H. Kim",https://ieeexplore.ieee.org/document/6784636/,10.1109/ICMLA.2013.66,Year: 2013
A new heuristic of the decision tree induction,"Ning Li;
Li Zhao;
Ai-Xia Chen;
Qing-Wu Meng;
Guo-Fang Zhang",https://ieeexplore.ieee.org/document/5212227/,10.1109/ICMLC.2009.5212227,Year: 2009
The application of machine learning algorithm in underwriting process,"Yi Tan;
Guo-Ji Zhang",https://ieeexplore.ieee.org/document/1527552/,10.1109/ICMLC.2005.1527552,Year: 2005
A machine learning approach to predict the result of League of Legends,Qiyuan Shen,https://ieeexplore.ieee.org/document/9763608/,10.1109/MLKE55170.2022.00013,Year: 2022
Chinese Text Categorization study based on feature weight learning,"Yan Zhan;
Hao Chen;
Su-Fang Zhang;
Mei Zheng",https://ieeexplore.ieee.org/document/5212257/,10.1109/ICMLC.2009.5212257,Year: 2009
Alignment-free sequence comparison: A systematic survey from a machine learning perspective,"Katrin Sophie Bohnsack;
Marika Kaden;
Julia Abel;
Thomas Villmann",https://ieeexplore.ieee.org/document/9672674/,10.1109/TCBB.2022.3140873,Year: 2022
Diagnosing Autism Spectrum Disorder Using Machine Learning Techniques,"Hidayet Takçı;
Saliha Yeşilyurt",https://ieeexplore.ieee.org/document/9558975/,10.1109/UBMK52708.2021.9558975,Year: 2021
A Review on Machine Learning Styles in Computer Vision—Techniques and Future Directions,"Supriya V. Mahadevkar;
Bharti Khemani;
Shruti Patil;
Ketan Kotecha;
Deepali R. Vora;
Ajith Abraham;
Lubna Abdelkareim Gabralla",https://ieeexplore.ieee.org/document/9903420/,10.1109/ACCESS.2022.3209825,Year: 2022
Application of machine learning techniques to Web-based intelligent learning diagnosis system,"Chenn-Jung Huang;
Ming-Chou Liu;
San-Shine Chu;
Chin-Lun Cheng",https://ieeexplore.ieee.org/document/1410011/,10.1109/ICHIS.2004.25,Year: 2004
Traffic Prediction for Intelligent Transportation System using Machine Learning,"Gaurav Meena;
Deepanjali Sharma;
Mehul Mahrishi",https://ieeexplore.ieee.org/document/9091758/,10.1109/ICETCE48199.2020.9091758,Year: 2020
Apply Support Vector Machine for CRM Problem,"Bo Liu;
Zhi-Feng Hao;
Jie Lu;
Shou-Qiang Liu",https://ieeexplore.ieee.org/document/4370715/,10.1109/ICMLC.2007.4370715,Year: 2007
A new semi-supervised support vector machine learning algorithm based on active learning,"Li Cunhe;
Wu Chenggang",https://ieeexplore.ieee.org/document/5497471/,10.1109/ICFCC.2010.5497471,Year: 2010
The multistage support vector machine,"Hong-Jie Xing;
Xi-Zhao Wang;
Qiang He;
Hong-Wei Yang",https://ieeexplore.ieee.org/document/1175353/,10.1109/ICMLC.2002.1175353,Year: 2002
IEEE Approved Draft Guide for Architectural Framework and Application of Federated Machine Learning,"IEEE P3652.1/D6.1, July 2020
Year: 2020 | Standard | Publisher: IEEE",https://ieeexplore.ieee.org/document/9154804/,,Year: 2020
IEEE Draft Guide for Architectural Framework and Application of Federated Machine Learning,"IEEE P3652.1/D6, April 2020
Year: 2020 | Standard | Publisher: IEEE",https://ieeexplore.ieee.org/document/9134988/,,Year: 2020
What are they Researching? Examining Industry-Based Doctoral Dissertation Research through the Lens of Machine Learning,"Ion C. Freeman;
Ashley J. Haigler;
Suzanna E. Schmeelk;
Lisa R. Ellrodt;
Tonya L. Fields",https://ieeexplore.ieee.org/document/8614242/,10.1109/ICMLA.2018.00217,Year: 2018
Deep Transfer Learning via Restricted Boltzmann Machine for Document Classification,Jian Zhang,https://ieeexplore.ieee.org/document/6146992/,10.1109/ICMLA.2011.51,Year: 2011
Machine learning-based distinction of left and right foot contacts in lower back inertial sensor gait data,"Martin Ullrich;
Arne Küderle;
Luca Reggi;
Andrea Cereatti;
Bjoern M. Eskofier;
Felix Kluge",https://ieeexplore.ieee.org/document/9630653/,10.1109/EMBC46164.2021.9630653,Year: 2021
Content-Based Recommendation Using Machine Learning,"Yifan Tai;
Zhenyu Sun;
Zixuan Yao",https://ieeexplore.ieee.org/document/9596525/,10.1109/MLSP52302.2021.9596525,Year: 2021
SemiBoost: Boosting for Semi-Supervised Learning,"Pavan Kumar Mallapragada;
Rong Jin;
Anil K. Jain;
Yi Liu",https://ieeexplore.ieee.org/document/4633363/,10.1109/TPAMI.2008.235,Year: 2009
Comparison of Classification Techniques used in Machine Learning as Applied on Vocational Guidance Data,"Halil Ibrahim Bulbul;
Ö Unsal",https://ieeexplore.ieee.org/document/6147691/,10.1109/ICMLA.2011.49,Year: 2011
