title,author,release_date,url
Hexaband Planar Inverted-F Antenna With Novel Feed Structure for Wireless Terminals,"Byoung-Nam Kim, Seong-Ook Park, Young-Sang Yoon, Jeong-Kun Oh, Kyung-Joon Lee, Gwan-Young Koo",2007,https://ieeexplore.ieee.org/document/4137530/
An overview of terahertz antennas,"Yejun He, Yaling Chen, Long Zhang, Sai-Wai Wong, Zhi Ning Chen",2020,https://ieeexplore.ieee.org/document/9147140/
Compact Broadband Crescent Moon-Shape Patch-Pair Antenna,"Jingli Guo, Yanlin Zou, Chao Liu",2011,https://ieeexplore.ieee.org/document/5763746/
Method to Estimate Antenna Mode Radar Cross Section of Large-Scale Array Antennas,"Lei Gan, Wen Jiang, Qiang Chen, Xiaoqiu Li, Zhipeng Zhou, Shuxi Gong",2021,https://ieeexplore.ieee.org/document/9420309/
Virtual Antenna Array With Directional Antennas for Millimeter-Wave Channel Characterization,"Mengting Li, Fengchun Zhang, Yilin Ji, Wei Fan",2022,https://ieeexplore.ieee.org/document/9743623/
"Multi-band, dual polarization, dual antennas for beam reconfigurable antenna system for small cell base Station (Invited paper)","Seong-Ook Park, Viet-Anh Nguyen, Rao Shahid Aziz",2014,https://ieeexplore.ieee.org/document/6958625/
Design of a Low-Profile Dual-Polarized Stepped Slot Antenna Array for Base Station,"Ruina Lian, Zedong Wang, Yingzeng Yin, Jianjun Wu, Xueyan Song",2016,https://ieeexplore.ieee.org/document/7124451/
An ultra-wideband horizontally polarized omnidirectional connected vivaldi array antenna,"Hu Liu, Ying Liu, Shuxi Gong",2016,https://ieeexplore.ieee.org/document/7821506/
A Novel Base Station Antenna Element for 3G/LTE/Sub-6 GHz 5G Applications,"Yejun He, Jun Li, Chao Li, Long Zhang, Sai-Wai Wong",2019,https://ieeexplore.ieee.org/document/9471923/
A Quad-Band Slant 45° Dual-Polarized Butler-based Omni-Directional MIMO Antenna,"Lin-Ping Shen, Hua Wang, Zouhair Briqech, Erik Willis, Nasrin Hojjat, Hamid Jamali, Xiaoqing Wu",2022,https://ieeexplore.ieee.org/document/9887028/
