title,author,press,release_date,ISBN
国学的读与做,潘志坚，江洋 著,华夏出版社,2022-10-01,9787522203522
浮生六记（软精装）,[清] 沈复 著，霍振国 译,江苏人民出版社,2022-09-01,9787214270009
声律启蒙·千家诗（软精装）,[清] 车万育，[宋] 谢枋得 著,江苏人民出版社,2022-09-01,9787214269850
零基础日语入门,易人外语编辑部 编,江苏凤凰科学技术出版社,2022-09-01,9787571329075
标准日语临摹字帖,易人外语编辑部 编,江苏凤凰科学技术出版社,2022-09-01,9787571329068
我的漫画日语入门学习书,[韩] 坂野治 等 著,江苏凤凰科学技术出版社,2022-09-01,9787571329860
简单4步一次学好英语语法,易人外语编辑部 编,江苏凤凰科学技术出版社,2022-09-01,9787571329655
实用英语常用语300句就够了,易人外语编辑部 编,江苏凤凰科学技术出版社,2022-09-01,9787571329648
300组常用英文短语轻松学好英语,易人外语编辑部 编,江苏凤凰科学技术出版社,2022-09-01,9787571329112
5大基本句型轻松学好英语,易人外语编辑部 编,江苏凤凰科学技术出版社,2022-09-01,9787571329020
英语单词分好类，超好背,易人外语编辑部 编,江苏凤凰科学技术出版社,2022-09-01,9787571329907
用100关键动词学好英语,易人外语教研组 著,江苏凤凰科学技术出版社,2022-09-01,9787571329341
注音全译老子：附王弼《老子道德经注》和苏辙《老子解》,王晓玮 著,新华出版社,2022-08-01,9787516663097
新编老子道德经（汉英对照）,[春秋] 老子 著，辜正坤 编，辜正坤 译校,外语教学与研究出版社,2022-06-01,9787521335972
庄子 经典直读本,[战国] 庄周 著，若水古社 译,广陵书社,2022-07-01,9787555418030
让国学经典回归课堂,金爱颖，王伶 著,团结出版社,2022-07-01,9787512623996
人与经典·史记,崔人元 著，王令樾 口述,花山文艺出版社,2022-07-01,9787551154741
人与经典·易经系辞传,吴怡 著,花山文艺出版社,2022-07-01,9787551160230
人与经典·大学,爱新觉罗·毓鋆 著,花山文艺出版社,2022-07-01,9787551160247
人与经典·说文解字,吴宏一 著,花山文艺出版社,2022-07-01,9787551160186
人与经典·左传,张高评 著,花山文艺出版社,2022-07-01,9787551160179
人与经典·中庸,爱新觉罗·毓鋆 著,花山文艺出版社,2022-07-01,9787551160254
资治通鉴精选新绎（全四册）,张大可 著,文化发展出版社,2022-07-01,9787514236835
万卷楼国学启蒙（十一本套装）,云青 著,万卷出版有限责任公司,2022-06-01,9787547058442
万卷楼国学启蒙：中国神话故事,云青 著,万卷出版公司,2022-06-01,9787547058497
