title,author,press,release_date,ISBN
失明症漫记,[葡]若泽·萨拉马戈,河南文艺出版社,2022-8-8,9787555913689
圣母,[日]秋吉理香子,新星出版社,2019-3,9787513335256
当我们不再理解世界,[智利]本哈明·拉巴图特,人民文学出版社,2022-9-1,9787020173228
命运,蔡崇达,浙江文艺出版社、广州出版社,2022-9-5,9787533969608
活着,余华,作家出版社,2012-8-1,9787506365437
大医·破晓篇,马伯庸,上海文艺出版社,2022-9,9787532183562
寻获与失落,[美国]厄休拉·勒古恩,河南文艺出版社,2022-9,9787555913740
遥远的救世主,豆豆,作家出版社,2005-05-01,9787506331746
偶像失格,[日]宇佐见铃,湖南文艺出版社,2022-7,9787572604683
绝叫,[日]叶真中显,北京联合出版公司,2020-7,9787559641182
夜晚的潜水艇,陈春成,上海三联书店,2020-9,9787542669964
献给阿尔吉侬的花束,[美]丹尼尔·凯斯,广西师范大学出版社,2015-4,9787549565115
鹿川有许多粪,李沧东,武汉大学出版社,2021-8,9787307223950
更多的人死于心碎,[美国]索尔·贝娄,文汇出版社,2022-9-1,9787549637874
如何是好,阎真,湖南文艺出版社,2022-10,9787572608384
克拉拉与太阳,[英]石黑一雄,上海译文出版社,2021-3,9787532786831
潮汐图,林棹,上海文艺出版社,2022-1,9787532180141
瘟疫之夜,[土耳其]奥尔罕·帕慕克,上海人民出版社,2022-10-20,9787208177642
生吞,郑执,浙江文艺出版社,2017-11-1,9787533950057
海葵,贝客邦,重庆出版社,2021-3,9787229153809
圣母,[日]秋吉理香子,新星出版社,2019-3,9787513335256
当我们不再理解世界,[智利]本哈明·拉巴图特,人民文学出版社,2022-9-1,9787020173228
命运,蔡崇达,浙江文艺出版社、广州出版社,2022-9-5,9787533969608
活着,余华,作家出版社,2012-8-1,9787506365437
大医·破晓篇,马伯庸,上海文艺出版社,2022-9,9787532183562
寻获与失落,[美国]厄休拉·勒古恩,河南文艺出版社,2022-9,9787555913740
遥远的救世主,豆豆,作家出版社,2005-05-01,9787506331746
偶像失格,[日]宇佐见铃,湖南文艺出版社,2022-7,9787572604683
绝叫,[日]叶真中显,北京联合出版公司,2020-7,9787559641182
夜晚的潜水艇,陈春成,上海三联书店,2020-9,9787542669964
献给阿尔吉侬的花束,[美]丹尼尔·凯斯,广西师范大学出版社,2015-4,9787549565115
鹿川有许多粪,李沧东,武汉大学出版社,2021-8,9787307223950
更多的人死于心碎,[美国]索尔·贝娄,文汇出版社,2022-9-1,9787549637874
如何是好,阎真,湖南文艺出版社,2022-10,9787572608384
克拉拉与太阳,[英]石黑一雄,上海译文出版社,2021-3,9787532786831
潮汐图,林棹,上海文艺出版社,2022-1,9787532180141
瘟疫之夜,[土耳其]奥尔罕·帕慕克,上海人民出版社,2022-10-20,9787208177642
生吞,郑执,浙江文艺出版社,2017-11-1,9787533950057
海葵,贝客邦,重庆出版社,2021-3,9787229153809
生死疲劳,莫言,浙江文艺出版社,2022-1,9787533966102
当我们不再理解世界,[智利]本哈明·拉巴图特,人民文学出版社,2022-9-1,9787020173228
命运,蔡崇达,浙江文艺出版社、广州出版社,2022-9-5,9787533969608
活着,余华,作家出版社,2012-8-1,9787506365437
大医·破晓篇,马伯庸,上海文艺出版社,2022-9,9787532183562
寻获与失落,[美国]厄休拉·勒古恩,河南文艺出版社,2022-9,9787555913740
遥远的救世主,豆豆,作家出版社,2005-05-01,9787506331746
偶像失格,[日]宇佐见铃,湖南文艺出版社,2022-7,9787572604683
绝叫,[日]叶真中显,北京联合出版公司,2020-7,9787559641182
夜晚的潜水艇,陈春成,上海三联书店,2020-9,9787542669964
献给阿尔吉侬的花束,[美]丹尼尔·凯斯,广西师范大学出版社,2015-4,9787549565115
鹿川有许多粪,李沧东,武汉大学出版社,2021-8,9787307223950
更多的人死于心碎,[美国]索尔·贝娄,文汇出版社,2022-9-1,9787549637874
如何是好,阎真,湖南文艺出版社,2022-10,9787572608384
克拉拉与太阳,[英]石黑一雄,上海译文出版社,2021-3,9787532786831
潮汐图,林棹,上海文艺出版社,2022-1,9787532180141
瘟疫之夜,[土耳其]奥尔罕·帕慕克,上海人民出版社,2022-10-20,9787208177642
生吞,郑执,浙江文艺出版社,2017-11-1,9787533950057
海葵,贝客邦,重庆出版社,2021-3,9787229153809
生死疲劳,莫言,浙江文艺出版社,2022-1,9787533966102
三体,刘慈欣,重庆出版社,2008-1,9787536692930
