bid,uid,buy_date
83572,284870,2022-06-22
64321,768824,2022-11-10
60871,645147,2022-08-29
81080,393891,2022-03-19
76271,580039,2022-10-18
44037,12618,2022-12-06
33819,983982,2022-03-14
94682,202516,2022-02-28
55849,864638,2022-05-09
99075,335347,2022-01-08
17376,27916,2022-04-05
31844,70315,2022-03-16
85074,357132,2022-05-23
22184,8136,2022-01-04
32222,547778,2022-07-28
59518,442982,2022-11-06
68877,688609,2022-04-17
32420,834558,2022-07-28
90953,320008,2022-01-18
26511,84609,2022-07-22
63371,203574,2022-03-21
93813,100750,2022-04-23
57766,248829,2022-06-03
97038,680109,2022-01-05
58570,948246,2022-11-06
90276,774487,2022-08-18
87650,952715,2022-01-06
11854,58017,2022-09-22
93585,186025,2022-08-05
63442,313999,2022-05-08
61392,792642,2022-03-11
93108,512924,2022-08-06
6091,894275,2022-08-13
26969,595462,2022-11-04
25138,41940,2022-05-03
97048,890415,2022-08-15
10834,598160,2022-12-25
35103,26432,2022-04-12
66996,179488,2022-09-12
18962,46891,2022-11-26
42579,111829,2022-10-08
46191,830601,2022-10-24
23536,122324,2022-02-16
50383,520398,2022-09-08
57856,635549,2022-09-15
47708,382593,2022-07-04
44953,536489,2022-05-16
44245,183790,2022-03-10
9122,593150,2022-09-04
58415,958697,2022-04-07
90756,61129,2022-04-21
85166,781026,2022-06-19
42355,808477,2022-08-21
75193,296011,2022-07-05
21569,211164,2022-04-14
34321,471420,2022-02-27
81902,721835,2022-01-16
56011,27800,2022-12-05
29805,806698,2022-02-09
77326,441035,2022-10-24
88311,270662,2022-12-10
98597,736428,2022-08-29
74400,841404,2022-07-28
98427,248893,2022-03-04
97635,173288,2022-01-19
79021,198798,2022-12-20
56702,95332,2022-07-25
5287,932244,2022-09-06
47899,332320,2022-08-24
85765,185304,2022-10-21
18157,462810,2022-12-01
32180,434880,2022-03-05
45430,692719,2022-03-29
5582,59454,2022-01-20
52320,74722,2022-11-28
54944,59715,2022-03-30
57301,901373,2022-09-30
30910,809028,2022-08-04
66725,898041,2022-10-11
71593,268949,2022-11-13
88637,648920,2022-04-20
6695,714027,2022-03-22
13534,356201,2022-06-20
88291,933638,2022-06-11
14047,219017,2022-07-25
54465,349723,2022-12-14
43604,160265,2022-04-15
80520,987490,2022-09-14
55235,132394,2022-04-23
50107,965332,2022-10-07
27417,229155,2022-10-02
31170,387683,2022-02-23
92597,704286,2022-06-15
49614,194214,2022-09-18
70511,465955,2022-05-05
70668,73492,2022-12-21
54749,937966,2022-07-17
54588,818812,2022-09-03
27810,923587,2022-07-24
21410,393756,2022-11-18
30836,977659,2022-04-30
256,596233,2022-03-20
72423,185895,2022-04-03
21649,233414,2022-10-19
46314,348475,2022-02-06
92603,267983,2022-03-09
73862,838180,2022-03-27
16855,622358,2022-04-26
48375,502064,2022-03-21
89973,373559,2022-11-01
86908,268359,2022-08-30
85917,189050,2022-05-21
58016,880352,2022-08-19
34454,354269,2022-02-14
5076,905875,2022-06-11
98237,899212,2022-08-05
31221,933530,2022-06-03
21172,294830,2022-02-21
54085,789161,2022-03-09
