article,author,url,DOI,year
Hexaband Planar Inverted-F Antenna With Novel Feed Structure for Wireless Terminals,"Byoung-Nam Kim;
Seong-Ook Park;
Young-Sang Yoon;
Jeong-Kun Oh;
Kyung-Joon Lee;
Gwan-Young Koo",https://ieeexplore.ieee.org/document/4137530/,10.1109/LAWP.2007.893066,Year: 2007
An overview of terahertz antennas,"Yejun He;
Yaling Chen;
Long Zhang;
Sai-Wai Wong;
Zhi Ning Chen",https://ieeexplore.ieee.org/document/9147140/,10.23919/J.CC.2020.07.011,Year: 2020
Compact Broadband Crescent Moon-Shape Patch-Pair Antenna,"Jingli Guo;
Yanlin Zou;
Chao Liu",https://ieeexplore.ieee.org/document/5763746/,10.1109/LAWP.2011.2151170,Year: 2011
Method to Estimate Antenna Mode Radar Cross Section of Large-Scale Array Antennas,"Lei Gan;
Wen Jiang;
Qiang Chen;
Xiaoqiu Li;
Zhipeng Zhou;
Shuxi Gong",https://ieeexplore.ieee.org/document/9420309/,10.1109/TAP.2021.3075536,Year: 2021
Virtual Antenna Array With Directional Antennas for Millimeter-Wave Channel Characterization,"Mengting Li;
Fengchun Zhang;
Yilin Ji;
Wei Fan",https://ieeexplore.ieee.org/document/9743623/,10.1109/TAP.2022.3161334,Year: 2022
"Multi-band, dual polarization, dual antennas for beam reconfigurable antenna system for small cell base Station (Invited paper)","Seong-Ook Park;
Viet-Anh Nguyen;
Rao Shahid Aziz",https://ieeexplore.ieee.org/document/6958625/,10.1109/IWAT.2014.6958625,Year: 2014
Design of a Low-Profile Dual-Polarized Stepped Slot Antenna Array for Base Station,"Ruina Lian;
Zedong Wang;
Yingzeng Yin;
Jianjun Wu;
Xueyan Song",https://ieeexplore.ieee.org/document/7124451/,10.1109/LAWP.2015.2446193,Year: 2016
An ultra-wideband horizontally polarized omnidirectional connected vivaldi array antenna,"Hu Liu;
Ying Liu;
Shuxi Gong",https://ieeexplore.ieee.org/document/7821506/,,Year: 2016
A Novel Base Station Antenna Element for 3G/LTE/Sub-6 GHz 5G Applications,"Yejun He;
Jun Li;
Chao Li;
Long Zhang;
Sai-Wai Wong",https://ieeexplore.ieee.org/document/9471923/,10.1109/APCAP47827.2019.9471923,Year: 2019
A Quad-Band Slant 45° Dual-Polarized Butler-based Omni-Directional MIMO Antenna,"Lin-Ping Shen;
Hua Wang;
Zouhair Briqech;
Erik Willis;
Nasrin Hojjat;
Hamid Jamali;
Xiaoqing Wu",https://ieeexplore.ieee.org/document/9887028/,10.1109/AP-S/USNC-URSI47032.2022.9887028,Year: 2022
A Broadband Low-Profile Circular-Polarized Antenna on an AMC Reflector,"Dan Feng;
Huiqing Zhai;
Lei Xi;
Sen Yang;
Kedi Zhang;
Dong Yang",https://ieeexplore.ieee.org/document/8025776/,10.1109/LAWP.2017.2749246,Year: 2017
An Omnidirectional High-Gain Antenna Element for TD-SCDMA Base Station,"Yu Xiaole;
Ni Daning;
Wang Wutu",https://ieeexplore.ieee.org/document/4168036/,10.1109/ISAPE.2006.353347,Year: 2006
Uniplanar Differentially Driven Ultrawideband Polarization Diversity Antenna With Band-Notched Characteristics,"He Huang;
Ying Liu;
Shaoshuai Zhang;
Shuxi Gong",https://ieeexplore.ieee.org/document/6966738/,10.1109/LAWP.2014.2374332,Year: 2015
A Low-Profile Dual-Polarized Microstrip Antenna Array for Dual-Mode OAM Applications,"Hui Li;
Le Kang;
Feng Wei;
Yuan-Ming Cai;
Ying-Zeng Yin",https://ieeexplore.ieee.org/document/8054685/,10.1109/LAWP.2017.2758520,Year: 2017
A Compact Broadband Circularly Polarized Spiral Antenna for Conformal Applications,"Wei Huang;
Yejun He;
Wenting Li;
Long Zhang;
Sai-Wai Wong",https://ieeexplore.ieee.org/document/9704122/,10.1109/APS/URSI47566.2021.9704122,Year: 2021
Gain Enhancement for Broadband Vertical Planar Printed Antenna With H-Shaped Resonator Structures,"Hao Wang;
Shu-Fang Liu;
Lei Chen;
Wen-Tao Li;
Xiao-Wei Shi",https://ieeexplore.ieee.org/document/6819028/,10.1109/TAP.2014.2325955,Year: 2014
A Frequency Diversity Printed-Yagi Antenna Element for Apertures Selectivity Wideband Array Application,"Fukun Sun;
Fu-Shun Zhang;
Hongyin Zhang;
Hanjing Zhang;
Chao Li;
Chaoqiang Feng",https://ieeexplore.ieee.org/document/8410923/,10.1109/TAP.2018.2855722,Year: 2018
"A Broadband
L
-Strip Fed Printed Microstrip Antenna","V. P. Sarin;
M. S. Nishamol;
D. Tony;
C. K. Aanandan;
P. Mohanan;
K. Vasudevan",https://ieeexplore.ieee.org/document/5618545/,10.1109/TAP.2010.2090641,Year: 2011
Influence of Dielectric Overlay Dimensions on Performance of Miniaturized ESPAR Antenna,"M. Czelen;
M. Rzymowski;
K. Nyka;
L. Kulas",https://ieeexplore.ieee.org/document/9330147/,10.1109/IEEECONF35879.2020.9330147,Year: 2020
"Mechanically scanned, electronically zoomed, receive and transmit antenna for low Earth orbit spaceborne wideband applications in Ku band","F. Croq;
F. Dolmeta;
B. Lejay;
E. Vourch;
M. Reynaud",https://ieeexplore.ieee.org/document/1016965/,10.1109/APS.2002.1016965,Year: 2002
Multi-band compact antennas for vehicular communications,"S. Arianos;
G. Dassano;
F. Vipiana;
M. Orefice",https://ieeexplore.ieee.org/document/5996908/,10.1109/APS.2011.5996908,Year: 2011
Design of UWB multi-folded patch antenna at UHF band,"Devendra Kumar Sharma;
Sanjeev Kulshrestha;
S. B. Chakrabarty;
M. B. Mahajan;
Rajeev Jyoti",https://ieeexplore.ieee.org/document/8402622/,10.1109/IAIM.2017.8402622,Year: 2017
28 GHz Side-Edge Loop Antenna with End-Fire Radiation Polarized Vertically to Substrate,"Masayuki Nakajima;
Masazumi Ishikawa;
Gentei Sato",https://ieeexplore.ieee.org/document/8888990/,10.1109/APUSNCURSINRSM.2019.8888990,Year: 2019
Dual-Band Shared Aperture Reflectarray and Patch Antenna Array for S- and Ka-Bands,"Daniel Edelgaard Serup;
Gert Frølund Pedersen;
Shuai Zhang",https://ieeexplore.ieee.org/document/9538844/,10.1109/TAP.2021.3111171,Year: 2022
"A New Magneto-Dielectric Material Loaded, Tunable UHF Antenna for Handheld Devices","F. Ferrero;
A. Chevalier;
J. M. Ribero;
R. Staraj;
J. L. Mattei;
Y. Queffelec",https://ieeexplore.ieee.org/document/6009166/,10.1109/LAWP.2011.2167118,Year: 2011
Non-Intrusive Control of Surface Impedance Using Parasitic Inclusions for Base Station Antennas,"Mehdi Hosseini;
Nasrin Hojjat;
Hamid Jamali",https://ieeexplore.ieee.org/document/9329568/,10.1109/IEEECONF35879.2020.9329568,Year: 2020
A Four-Antenna System With High Isolation for Mobile Phones,"Jingli Guo;
Jiachang Fan;
Ling Sun;
Baohua Sun",https://ieeexplore.ieee.org/document/6572850/,10.1109/LAWP.2013.2273551,Year: 2013
A Wideband Stacked Offset Microstrip Antenna With Improved Gain and Low Cross Polarization,"V. P. Sarin;
M. S. Nishamol;
D. Tony;
C. K. Aanandan;
P. Mohanan;
K. Vasudevan",https://ieeexplore.ieee.org/document/5704558/,10.1109/TAP.2011.2109362,Year: 2011
Design of Broadband Handset Antenna Based On Characteristic Modes,"Bo Pang;
Wen Jiang;
Wei Hu;
Tiancheng Zhang;
Dawei Ge;
Hao Wu",https://ieeexplore.ieee.org/document/9391259/,10.23919/ISAP47053.2021.9391259,Year: 2021
Electronically REconfigurable Superstrate (ERES) Antenna,"L. Leszkowska;
D. Duraj;
M. Rzymowski;
K. Nyka;
L. Kulas",https://ieeexplore.ieee.org/document/8739570/,,Year: 2019
A Single Patch Antenna With Broadside and Conical Radiation Patterns for 3G/4G Pattern Diversity,"Li Sun;
Guan-xi Zhang;
Bao-hua Sun;
Wen-ding Tang;
Jiang-peng Yuan",https://ieeexplore.ieee.org/document/7140779/,10.1109/LAWP.2015.2451132,Year: 2016
A Wideband Circularly Polarized Cross-Dipole Antenna With L-shape Slots,"Yuhang Sun;
Yejun He;
Wei He;
Long Zhang;
Sai-Wai Wong",https://ieeexplore.ieee.org/document/9330316/,10.1109/IEEECONF35879.2020.9330316,Year: 2020
Design of probe-fed truncated corner microstrip antennas for Globalstar system,"D.C. Nascimento;
I. Bianchi;
R. Schildberg;
J.C. da S. Lacava",https://ieeexplore.ieee.org/document/4396177/,10.1109/APS.2007.4396177,Year: 2007
Antenna Array Design and System for Directional Networking,"Gui Chao Huang;
Magdy F. Iskander;
Mahbub Hoque;
Steven R. Goodall;
Timothy Bocskor",https://ieeexplore.ieee.org/document/7031906/,10.1109/LAWP.2015.2391199,Year: 2015
Study on dual frequency planar monopole antennas,"Zheng Hui-li;
Tang Ming-xiang;
Song Shun-xian",https://ieeexplore.ieee.org/document/1617933/,10.1109/MAPE.2005.1617933,Year: 2005
Dual-Band Aperture Shared Antenna Array With Decreased Radiation Pattern Distortion,"Wei Niu;
Baohua Sun;
Gaonan Zhou;
Zhepeng Lan",https://ieeexplore.ieee.org/document/9743738/,10.1109/TAP.2022.3161267,Year: 2022
Sixth International Conference on Antennas and Propagation (ICAP 89) (Conf. Publ. No.301),"1989 Sixth International Conference on Antennas and Propagation, ICAP 89 (Conf. Publ. No.301)
Year: 1989 | Conference Paper | Publisher: IET",https://ieeexplore.ieee.org/document/29681/,,Year: 1989
Combined-type dual-wideband and triple-wideband LTE antennas for the tablet device,"Chih-Yu Tsai;
Kin-Lu Wong",https://ieeexplore.ieee.org/document/7374426/,10.1109/APCAP.2015.7374426,Year: 2015
A single radiator with four decoupled ports for four by four MIMO antennas and systems,"Luyu Zhao;
Aobo Chen;
Jianqiang Zhang;
Shufeng Zheng;
Yingzeng Yin",https://ieeexplore.ieee.org/document/8072872/,10.1109/APUSNCURSINRSM.2017.8072872,Year: 2017
Ka-Band Circularly-Polarized Antenna Array with Wide Gain and Axial Ratio Bandwidth,"Amir Raeesi;
Hussam Al-Saedi;
Wael M. Abdel-Wahab;
Suren Gigoyan;
Safieddin Safavi Naeini",https://ieeexplore.ieee.org/document/9411453/,10.23919/EuCAP51087.2021.9411453,Year: 2021
Three Ways to Decouple Multiple Antennas in A Mobile Terminal,"Yujia Liu;
Xiaoyuan Zhao;
Guodong Jing;
Yuqi He;
Mengkai Xi;
Luyu Zhao",https://ieeexplore.ieee.org/document/8963176/,,Year: 2019
A Novel Miniaturized Broadband Dual-Polarized Dipole Antenna for Base Station,"Ying Liu;
Hao Yi;
Fu-Wei Wang;
Shu-Xi Gong",https://ieeexplore.ieee.org/document/6627950/,10.1109/LAWP.2013.2285373,Year: 2013
Design and Analysis of Single Beam Parabolic Reflector Antenna in LTCC for Millimeter Wave Automotive Radar,Dong-Hee Park,https://ieeexplore.ieee.org/document/8958132/,10.1109/COMCAS44984.2019.8958132,Year: 2019
Radiation Efficiency Improvement of a Balanced Miniature IFA-Inspired Circular Antenna,"F. Sarrazin;
S. Pflaum;
C. Delaveaud",https://ieeexplore.ieee.org/document/7762152/,10.1109/LAWP.2016.2633308,Year: 2017
Design of a Multiband Quasi-Yagi-Type Antenna With CPW-to-CPS Transition,"Yang Ding;
Y. C. Jiao;
P. Fei;
B. Li;
Q. T. Zhang",https://ieeexplore.ieee.org/document/6035954/,10.1109/LAWP.2011.2170950,Year: 2011
Large Frequency Ratio Vivaldi Antenna System With Low-Frequency Gain Enhancement Utilizing Dual-Function Taper Slot,"Jian Ren;
Miaomiao Zuo;
Bing Zhang;
Xiaoyu Du;
Zhe Chen;
Ying Liu;
Ying Zeng Yin",https://ieeexplore.ieee.org/document/9665210/,10.1109/TAP.2021.3137463,Year: 2022
Compact ultra wide band sinuous antenna,"Satish kumar Bandlamudi;
Puneet Kumar Mishra;
Sasikanta Kumar;
M. Haindavi;
R. Renuka;
S. S. Kumar;
V. K. Hariharan",https://ieeexplore.ieee.org/document/8402529/,10.1109/IAIM.2017.8402529,Year: 2017
Radiation efficient unidirectional low-profile slot antenna elements for X-band application,"C. Locker;
T. Vaupel;
T.F. Eibert",https://ieeexplore.ieee.org/document/1492631/,10.1109/TAP.2005.851793,Year: 2005
A 3–9 GHz UWB High-Gain Conformal End-Fire Vivaldi Antenna Array,"Yaling Chen;
Yejun He;
Wenting Li;
Long Zhang;
Sai-Wai Wong;
Amir Boag",https://ieeexplore.ieee.org/document/9703714/,10.1109/APS/URSI47566.2021.9703714,Year: 2021
A Multifeed Antenna for High-Efficiency On-Antenna Power Combining,"Taiyun Chi;
Sensen Li;
Jong Seok Park;
Hua Wang",https://ieeexplore.ieee.org/document/8070976/,10.1109/TAP.2017.2764119,Year: 2017
Wideband Printed Microstrip Antenna for Wireless Communications,"V. P. Sarin;
Nisha Nassar;
V Deepu;
C. K Aanandan;
P Mohanan;
Kesavath Vasudevan",https://ieeexplore.ieee.org/document/5129694/,10.1109/LAWP.2009.2026193,Year: 2009
"A lightweight broadband dual polarized base station antenna for all bands of UHF DVB-H mobile TV, CDMA and GSM","Mohamed Sanad;
Noha Hassan;
Amant-Antennas",https://ieeexplore.ieee.org/document/5562309/,10.1109/APS.2010.5562309,Year: 2010
Multiband and Dual-Polarized Omnidirectional Antenna for 2G/3G/LTE Application,"Xi-Wang Dai;
Zhen-Ye Wang;
Chang-Hong Liang;
Xi Chen;
Li-Ting Wang",https://ieeexplore.ieee.org/document/6658904/,10.1109/LAWP.2013.2289743,Year: 2013
Design of Electrically Small Metamaterial Antenna With ELC and EBG Loading,"Ke Li;
Cheng Zhu;
Long Li;
Yuan-Ming Cai;
Chang-Hong Liang",https://ieeexplore.ieee.org/document/6517468/,10.1109/LAWP.2013.2264099,Year: 2013
Multi-Beam Reflector Antenna System Combining Beam Hopping and Size Reduction of Effectively Used Spots,"Nelson J. G. Fonseca;
Jacques Sombrin",https://ieeexplore.ieee.org/document/6230720/,10.1109/MAP.2012.6230720,Year: 2012
Far field antenna factor estimation for a single antenna measurement using time frequency analysis,"Satoru Kurokawa;
Masanobu Hirose",https://ieeexplore.ieee.org/document/7026481/,10.1109/ISANP.2014.7026481,Year: 2014
A Planar Dual-Polarized Phased Array With Broad Bandwidth and Quasi-Endfire Radiation for 5G Mobile Handsets,"Naser Ojaroudi Parchin;
Jin Zhang;
Raed A. Abd-Alhameed;
Gert Frølund Pedersen;
Shuai Zhang",https://ieeexplore.ieee.org/document/9395373/,10.1109/TAP.2021.3069501,Year: 2021
A Switchable-Frequency Slot-Ring Antenna Element for Designing a Reconfigurable Array,"Mahmoud Shirazi;
Junyi Huang;
Tianjiao Li;
Xun Gong",https://ieeexplore.ieee.org/document/8170228/,10.1109/LAWP.2017.2781463,Year: 2018
A Novel Wideband Circular Patch Antenna With Conical Radiation Pattern,"Yang-Dong Yan;
Yong-Chang Jiao;
Riyun Tian",https://ieeexplore.ieee.org/document/8963060/,,Year: 2019
VHF/UHF Ultrawideband Slim Monopole Antenna With Parasitic Loadings,"Dongjie Qin;
Baohua Sun;
Rui Zhang",https://ieeexplore.ieee.org/document/9827493/,10.1109/LAWP.2022.3190015,Year: 2022
5G antenna array with wide-angle beam steering and dual linear polarizations,"Kirill Klionovski;
Atif Shamim;
Mohammad Said Sharawi",https://ieeexplore.ieee.org/document/8072777/,10.1109/APUSNCURSINRSM.2017.8072777,Year: 2017
