article,author,url,DOI,year
ArtChain: Blockchain-Enabled Platform for Art Marketplace,"Ziyuan Wang;
Lin Yang;
Qin Wang;
Donghai Liu;
Zhiyu Xu;
Shigang Liu",https://ieeexplore.ieee.org/document/8946141/,10.1109/Blockchain.2019.00068,Year: 2019
ETH Relay: A Cost-efficient Relay for Ethereum-based Blockchains,"Philipp Frauenthaler;
Marten Sigwart;
Christof Spanring;
Michael Sober;
Stefan Schulte",https://ieeexplore.ieee.org/document/9284781/,10.1109/Blockchain50366.2020.00032,Year: 2020
Effective Scheme against 51% Attack on Proof-of-Work Blockchain with History Weighted Information,"Xinle Yang;
Yang Chen;
Xiaohu Chen",https://ieeexplore.ieee.org/document/8946277/,10.1109/Blockchain.2019.00041,Year: 2019
Research and Implementation on the Operation and Transaction System Based on Blockchain Technology for Virtual Power Plant,"Da Li;
Qinglei Guo;
Desheng Bai;
Wei Zhang",https://ieeexplore.ieee.org/document/9845098/,10.1109/ICBCTIS55569.2022.00046,Year: 2022
A Survey on Safety Regulation Technology of Blockchain Application and Blockchain Ecology,"Pengxu Shen;
Suozai Li;
Ming Huang;
Haoyu Gao;
Leixiao Li;
Jun Li;
Hong Lei",https://ieeexplore.ieee.org/document/9881611/,10.1109/Blockchain55522.2022.00076,Year: 2022
A Reputation Management Framework for Knowledge-Based and Probabilistic Blockchains,"Tara Salman;
Raj Jain;
Lav Gupta",https://ieeexplore.ieee.org/document/8946271/,10.1109/Blockchain.2019.00078,Year: 2019
BCDM - A decision and operation model for blockchains,"Diana Dabboussi;
Frank Victor;
Wolfgang Prinz",https://ieeexplore.ieee.org/document/9461146/,10.1109/ICBC51069.2021.9461146,Year: 2021
A Voting-Based Blockchain Interoperability Oracle,"Michael Sober;
Giulia Scaffino;
Christof Spanring;
Stefan Schulte",https://ieeexplore.ieee.org/document/9680520/,10.1109/Blockchain53845.2021.00030,Year: 2021
A Blockchain and ABAC Based Data Access Control Scheme in Smart Grid,"Xiao Liang;
Ningyu An;
Da Li;
Qiang Zhang;
Ruimiao Wang",https://ieeexplore.ieee.org/document/9845065/,10.1109/ICBCTIS55569.2022.00023,Year: 2022
Visualization of Blockchain Consensus Degradation,"Luca Ambrosini;
Matija Piškorec;
Claudio J. Tessone",https://ieeexplore.ieee.org/document/9805498/,10.1109/ICBC54727.2022.9805498,Year: 2022
Understanding Blockchain Technology: Abstracting the Blockchain,Morgen Peck,https://ieeexplore.ieee.org/courses/details/EDP521,,Year: 2018
