article,author,url,DOI,year
Block Design-Based Key Agreement for Group Data Sharing in Cloud Computing,"Jian Shen;
Tianqi Zhou;
Debiao He;
Yuexin Zhang;
Xingming Sun;
Yang Xiang",https://ieeexplore.ieee.org/document/7976317/,10.1109/TDSC.2017.2725953,Year: 2019
Cloud Computing for Emerging Mobile Cloud Apps,Mehdi Bahrami,https://ieeexplore.ieee.org/document/7130863/,10.1109/MobileCloud.2015.40,Year: 2015
Cloud Computing Introduction,"Cloud Strategy Partners, LLC",https://ieeexplore.ieee.org/courses/details/EDP381,,Year: 2014
C-Cloud: A Cost-Efficient Reliable Cloud of Surplus Computing Resources,"Partha Dutta;
Tridib Mukherjee;
Vinay Gangadhar Hegde;
Sujit Gujar",https://ieeexplore.ieee.org/document/6973858/,10.1109/CLOUD.2014.152,Year: 2014
Towards a Stakeholder-Oriented Taxonomical Approach for Secure Cloud Computing,"Abdullah Abuhussein;
Harkeerat Bedi;
Sajjan Shiva",https://ieeexplore.ieee.org/document/6740258/,10.1109/CLOUD.2013.132,Year: 2013
The KOALA Cloud Manager: Cloud Service Management the Easy Way,"Christian Baun;
Marcel Kunze;
Viktor Mauch",https://ieeexplore.ieee.org/document/6008782/,10.1109/CLOUD.2011.64,Year: 2011
Molecular Dynamics Simulations on Cloud Computing and Machine Learning Platforms,"Prateek Sharma;
Vikram Jadhao",https://ieeexplore.ieee.org/document/9582180/,10.1109/CLOUD53861.2021.00101,Year: 2021
Systemic Risks in the Cloud Computing Model: Complex Systems Perspective,V. Marbukh,https://ieeexplore.ieee.org/document/7820361/,10.1109/CLOUD.2016.0124,Year: 2016
A Context Sensitive Offloading Scheme for Mobile Cloud Computing Service,"Bowen Zhou;
Amir Vahid Dastjerdi;
Rodrigo N. Calheiros;
Satish Narayana Srirama;
Rajkumar Buyya",https://ieeexplore.ieee.org/document/7214129/,10.1109/CLOUD.2015.119,Year: 2015
Connecting Fog and Cloud Computing,David S. Linthicum,https://ieeexplore.ieee.org/document/7912254/,10.1109/MCC.2017.37,Year: 2017
Virtual Machine Placement in Predictable Computing Clouds,"Richard Rauscher;
Raj Acharya",https://ieeexplore.ieee.org/document/6973854/,10.1109/CLOUD.2014.148,Year: 2014
Scheduling Scientific Workflows Elastically for Cloud Computing,"Cui Lin;
Shiyong Lu",https://ieeexplore.ieee.org/document/6008783/,10.1109/CLOUD.2011.110,Year: 2011
"Creating Your Own Private Cloud: Ezilla Toolkit -- For Coordinated Storage, Computing, and Networking Services","Yi-Lun Pan;
Chang-Hsing Wu;
Hsi-En Yu;
Hui-Shan Chen;
Weicheng Huang",https://ieeexplore.ieee.org/document/6217484/,10.1109/CCGrid.2012.102,Year: 2012
Towards Automated Workflow Deployment in the Cloud Using TOSCA,"Rawaa Qasha;
Jacek Cala;
Paul Watson",https://ieeexplore.ieee.org/document/7214157/,10.1109/CLOUD.2015.146,Year: 2015
Dynamic Scheduling for Stochastic Edge-Cloud Computing Environments Using A3C Learning and Residual Recurrent Neural Networks,"Shreshth Tuli;
Shashikant Ilager;
Kotagiri Ramamohanarao;
Rajkumar Buyya",https://ieeexplore.ieee.org/document/9169832/,10.1109/TMC.2020.3017079,Year: 2022
"Cloud Computing Definition, Reference Architecture, and General Use Cases","Cloud Strategy Partners, LLC",https://ieeexplore.ieee.org/courses/details/EDP382,,Year: 2014
Privacy-Preserving Association Rule Mining Algorithm for Encrypted Data in Cloud Computing,"Hyeong-Jin Kim;
Jae-Hwan Shin;
Young-ho Song;
Jae-Woo Chang",https://ieeexplore.ieee.org/document/8814554/,10.1109/CLOUD.2019.00086,Year: 2019
Towards Multi-user Private Keyword Search for Cloud Computing,Yanjiang Yang,https://ieeexplore.ieee.org/document/6008789/,10.1109/CLOUD.2011.76,Year: 2011
Toward cloud computing reference architecture: Cloud service management perspective,"Yanuarizki Amanatullah;
Charles Lim;
Heru Purnomo Ipung;
Arkav Juliandri",https://ieeexplore.ieee.org/document/6588059/,10.1109/ICTSS.2013.6588059,Year: 2013
Performance Issues in Cloud Computing for Cyber-physical Applications,"Michael Olson;
K. Mani Chandy",https://ieeexplore.ieee.org/document/6008781/,10.1109/CLOUD.2011.118,Year: 2011
Cloud Computing Infrastructure for Biological Echo-Systems,Janaka Balasooriya,https://ieeexplore.ieee.org/document/5558018/,10.1109/CLOUD.2010.80,Year: 2010
Evaluation of Highly Reliable Cloud Computing Systems Using Non-sequential Monte Carlo Simulation,"Brett Snyder;
Robert Green;
Vijay Devabhaktuni;
Mansoor Alam",https://ieeexplore.ieee.org/document/6973839/,10.1109/CLOUD.2014.133,Year: 2014
Privacy-Preserved Mobile Sensing through Hybrid Cloud Trust Framework,"Joy Ying Zhang;
Pang Wu;
Jiang Zhu;
Hao Hu;
Flavio Bonomi",https://ieeexplore.ieee.org/document/6740255/,10.1109/CLOUD.2013.108,Year: 2013
