article,author,url,DOI,year
An Application of a Deep Learning Algorithm for Automatic Detection of Unexpected Accidents Under Bad CCTV Monitoring Conditions in Tunnels,"Kyu Beom Lee;
Hyu Soung Shin",https://ieeexplore.ieee.org/document/8876906/,10.1109/Deep-ML.2019.00010,Year: 2019
IEEE Draft Framework and Process for Deep Learning Evaluation,"IEEE P2841/D2, February 2022
Year: 2022 | Standard | Publisher: IEEE",https://ieeexplore.ieee.org/document/9729147/,,Year: 2022
Evaluation of Deep Learning Techniques in Sentiment Analysis from Twitter Data,"Dionysis Goularas;
Sani Kamis",https://ieeexplore.ieee.org/document/8876896/,10.1109/Deep-ML.2019.00011,Year: 2019
Virtual learning environment opportunities for developing critical-reflexive thinking and deep learning in the education of an architect,"Carmen Rocío Morales-Aibar;
Patricia Medina-Zuta",https://ieeexplore.ieee.org/document/9675136/,10.1109/ICALTER54105.2021.9675136,Year: 2021
A Deep Learning Framework for Non-stationary Time Series Prediction,"Lina Li;
Shengkui Huang;
Zirun Ouyang;
Nianfeng Li",https://ieeexplore.ieee.org/document/9824863/,10.1109/CVIDLICCEA56201.2022.9824863,Year: 2022
"EXPANSE, A Continual Deep Learning System; Research Proposal","Mohammadreza Iman;
Khaled Rasheed;
Hamid R. Arabnia",https://ieeexplore.ieee.org/document/9799105/,10.1109/CSCI54926.2021.00103,Year: 2021
Deep Learning for Classification and Localization of COVID-19 Markers in Point-of-Care Lung Ultrasound,"Subhankar Roy;
Willi Menapace;
Sebastiaan Oei;
Ben Luijten;
Enrico Fini;
Cristiano Saltori;
Iris Huijben;
Nishith Chennakeshava;
Federico Mento;
Alessandro Sentelli;
Emanuele Peschiera;
Riccardo Trevisan;
Giovanni Maschietto;
Elena Torri;
Riccardo Inchingolo;
Andrea Smargiassi;
Gino Soldati;
Paolo Rota;
Andrea Passerini;
Ruud J. G. van Sloun;
Elisa Ricci;
Libertario Demi",https://ieeexplore.ieee.org/document/9093068/,10.1109/TMI.2020.2994459,Year: 2020
A Deep Learning Based Distributed Smart Surveillance Architecture using Edge and Cloud Computing,"Halil Can Kaskavalci;
Sezer Gören",https://ieeexplore.ieee.org/document/8876949/,10.1109/Deep-ML.2019.00009,Year: 2019
Research on single-character image classification of Tibetan ancient books based on deep learning,Zhongnan Zhao,https://ieeexplore.ieee.org/document/9824018/,10.1109/CVIDLICCEA56201.2022.9824018,Year: 2022
Using deep learning models to predict student performance in introductory computer programming courses,"Yueh-Hui Vanessa Chiang;
Ying-Ru Lin;
Nian-Shing Chen",https://ieeexplore.ieee.org/document/9853747/,10.1109/ICALT55010.2022.00060,Year: 2022
Incremental Learning of Object Detector with Limited Training Data,"Muhammad Abdullah Hafeez;
Adnan Ul-Hasan;
Faisal Shafait",https://ieeexplore.ieee.org/document/9647245/,10.1109/DICTA52665.2021.9647245,Year: 2021
Detection of Tuberculosis in Radiographs using Deep Learning-based Ensemble Methods,"Mahisha Patel;
Amitabh Das;
Vineet Kumar Pant;
Jayasurya M",https://ieeexplore.ieee.org/document/9588936/,10.1109/STCR51658.2021.9588936,Year: 2021
Burnt Forest Estimation from Sentinel-2 Imagery of Australia using Unsupervised Deep Learning,"Nosheen Abid;
Muhammad Imran Malik;
Muhammad Shahzad;
Faisal Shafait;
Haider Ali;
Muhammad Mohsin Ghaffar;
Christian Weis;
Norbert Wehn;
Marcus Liwicki",https://ieeexplore.ieee.org/document/9647174/,10.1109/DICTA52665.2021.9647174,Year: 2021
Research and Design of Smart Home Speech Recognition System Based on Deep Learning,Pengyu Wang,https://ieeexplore.ieee.org/document/9270545/,10.1109/CVIDL51233.2020.00-98,Year: 2020
Research on Artificial Intelligence: Deep Learning to Identify Plant Species,JiaDong Guo,https://ieeexplore.ieee.org/document/9763654/,10.1109/MLKE55170.2022.00017,Year: 2022
Detecting Port Scan Attempts with Comparative Analysis of Deep Learning and Support Vector Machine Algorithms,"Dogukan Aksu;
M. Ali Aydin",https://ieeexplore.ieee.org/document/8625370/,10.1109/IBIGDELFT.2018.8625370,Year: 2018
Physics-Aware Feature Learning of Sar Images with Deep Neural Networks: A Case Study,"Zhongling Huang;
Corneliu Octavian Dumitru;
Jun Ren",https://ieeexplore.ieee.org/document/9554842/,10.1109/IGARSS47720.2021.9554842,Year: 2021
Lung and Pancreatic Tumor Characterization in the Deep Learning Era: Novel Supervised and Unsupervised Learning Approaches,"Sarfaraz Hussein;
Pujan Kandel;
Candice W. Bolan;
Michael B. Wallace;
Ulas Bagci",https://ieeexplore.ieee.org/document/8624570/,10.1109/TMI.2019.2894349,Year: 2019
