article,author,url,DOI,year
MBSEM image acquisition and image processing in LabView FPGA,"Shammi Rahangdale;
Paul Keijzer;
P. Kruit",https://ieeexplore.ieee.org/document/7502728/,10.1109/IWSSIP.2016.7502728,2016
Wavelength-adaptive image formation model and geometric classification for defogging unmanned aerial vehicle images,"Inhye Yoon;
Monson H. Hayes;
Joonki Paik",https://ieeexplore.ieee.org/document/6638096/,10.1109/ICASSP.2013.6638096,2013
Image Registration Based on Rectangle Pattern,"Xingong Zhang;
Runping Xi;
Huiping Li;
Xiuwei Zhang;
Tao Yang",https://ieeexplore.ieee.org/document/5437862/,10.1109/ICIG.2009.118,2009
Progress in Multimodality Imaging: Truly Simultaneous Ultrasound and Magnetic Resonance Imaging,"Laura Curiel;
Rajiv Chopra;
Kullervo Hynynen",https://ieeexplore.ieee.org/document/4359945/,10.1109/TMI.2007.903572,2007
"MimickNet, Mimicking Clinical Image Post- Processing Under Black-Box Constraints","Ouwen Huang;
Will Long;
Nick Bottenus;
Marcelo Lerendegui;
Gregg E. Trahey;
Sina Farsiu;
Mark L. Palmeri",https://ieeexplore.ieee.org/document/8977476/,10.1109/TMI.2020.2970867,2020
A Simple Measure for Acuity in Medical Images,Frithjof Kruggel,https://ieeexplore.ieee.org/document/8400568/,10.1109/TIP.2018.2851673,2018
Representing images using points on image surfaces,"Sheng-Jyh Wang;
Lun-Chia Kuo;
Hsin-Haw Jong;
Zong-Han Wu",https://ieeexplore.ieee.org/document/1468190/,10.1109/TIP.2005.851693,2005
Fully Automated Motion Correction in First-Pass Myocardial Perfusion MR Image Sequences,"Julien Milles;
Rob J. van der Geest;
Michael Jerosch-Herold;
Johan H. C. Reiber;
Boudewijn P. F. Lelieveldt",https://ieeexplore.ieee.org/document/4580128/,10.1109/TMI.2008.928918,2008
Real-time single track location ultrasound elasticity imaging using graphic processing units,"Jonathan H Langdon;
Stephen A McAleavey",https://ieeexplore.ieee.org/document/6999483/,10.1109/WNYIPW.2014.6999483,2014
"Image processing LSI ""ISP-IV"" based on local parallel architecture and its applications","S. Muramatsu;
Y. Kobayashi;
M. Araoka;
S. Naoi;
T. Kaneta;
K. Hirose;
S. Onizawa",https://ieeexplore.ieee.org/document/999083/,10.1109/ICIP.1998.999083,1998
Oriented Wavelet Transform for Image Compression and Denoising,"V. Chappelier;
C. Guillemot",https://ieeexplore.ieee.org/document/1703581/,10.1109/TIP.2006.877526,2006
Biased Image Correction Based on Empirical Mode Decomposition,"A. Ogier;
T. Dorval;
A. Genovesio",https://ieeexplore.ieee.org/document/4379009/,10.1109/ICIP.2007.4379009,2007
