title,author,release_date,arxiv_url,arxiv_num
"Varying alpha, blinding, and bias in existing measurements","Chung-Chi Lee, John K. Webb, Robert F. Carswell, Vladimir A. Dzuba, Victor V. Flambaum, Dinko Milaković",1-December-2022,https://arxiv.org/abs/2212.00791,221200791
Transport in strained graphene: Interplay of Abelian and axial magnetic fields,"Aqeel Ahmed, Sanjib Kumar Das, Bitan Roy",1-December-2022,https://arxiv.org/abs/2212.00788,221200788
Collision detection for N-body Kepler systems,P. M. Visser,1-December-2022,https://arxiv.org/abs/2212.00783,221200783
Variational Neural-Network Ansatz for Continuum Quantum Field Theory,"John M. Martyn, Khadijeh Najafi, Di Luo",1-December-2022,https://arxiv.org/abs/2212.00782,221200782
Expectations for Horizon-Scale Supermassive Black Hole Population Studies with the ngEHT,"Dominic W. Pesce, Daniel C. M. Palumbo, Angelo Ricarte, Avery E. Broderick, Michael D. Johnson, Neil M. Nagar, Priyamvada Natarajan, Jose L. Gomez",1-December-2022,https://arxiv.org/abs/2212.00779,221200779
"Are the heliosphere, very local interstellar medium, and local cavity in pressure balance with Galactic gravity","Jeffrey L. Linsky, Eberhard Moebius",1-December-2022,https://arxiv.org/abs/2212.00777,221200777
"Distinct signatures of spinning PBH domination and evaporation: doubly peaked gravitational waves, dark relics and CMB complementarity","Nilanjandev Bhaumik, Anish Ghoshal, Rajeev Kumar Jain, Marek Lewicki",1-December-2022,https://arxiv.org/abs/2212.00775,221200775
On unitarity of the Coon amplitude,"Rishabh Bhardwaj, Shounak De, Marcus Spradlin, Anastasia Volovich",1-December-2022,https://arxiv.org/abs/2212.00764,221200764
A Strong-QCD Regime Measurement of the Proton's Spin Structure,David Ruth,1-December-2022,https://arxiv.org/abs/2212.00763,221200763
Quantum Divide and Conquer for Classical Shadows,"Daniel T. Chen, Zain H. Saleem, Michael A. Perlin",1-December-2022,https://arxiv.org/abs/2212.00761,221200761
High-dimensional density estimation with tensorizing flow,"Yinuo Ren, Hongli Zhao, Yuehaw Khoo, Lexing Ying",1-December-2022,https://arxiv.org/abs/2212.00759,221200759
Polarization-Tuned Fano Resonances in All-Dielectric Short-Wave Infrared Metasurface,"Anis Attiaoui, Gérard Daligou, Simone Assali, Oliver Skibitzki, Thomas Schroeder, Oussama Moutanabbir",1-December-2022,https://arxiv.org/abs/2212.00758,221200758
Basics of factorization in a scalar Yukawa field theory,"F. Alsan, L. Gamberg, J. O. Gonzalez-Hernandez, T. Rainaldi, T. C. Rogers",1-December-2022,https://arxiv.org/abs/2212.00757,221200757
New exact solutions for microscale gas flows,Hollis Williams,28-October-2022,https://arxiv.org/abs/2212.00755,221200755
An hourglass-free formulation for total Lagrangian smoothed particle hydrodynamics,"Dong Wu, Chi Zhang, Xiaojing Tang, Xiangyu Hu",14-October-2022,https://arxiv.org/abs/2212.00753,221200753
Evaluating CO2 Storage Potential of Offshore Reservoirs and Saline Formations in Central Gulf of Mexico by Employing Data-driven Models with SAS Viya,"Rupom Bhattacherjee, Kodjo Opoku Botchway, Xitong Hu, Jack Pashin, Goutam Chakraborty",23-September-2022,https://arxiv.org/abs/2212.00752,221200752
Probing Pseudo-Dirac Neutrinos with Astrophysical Sources at IceCube,"Kiara Carloni, Ivan Martinez-Soler, Carlos A. Arguelles, K. S. Babu, P. S. Bhupal Dev",1-December-2022,https://arxiv.org/abs/2212.00737,221200737
An exponentially-growing family of universal quantum circuits,"Mohammad Kordzanganeh, Pavel Sekatski, Leonid Fedichkin, Alexey Melnikov",1-December-2022,https://arxiv.org/abs/2212.00736,221200736
Interaction-driven transport of dark excitons in 2D semiconductors with phonon-mediated optical readout,"Saroj B. Chand, John M. Woods, Jiamin Quan, Enrique Mejia, Takashi Taniguchi, Kenji Watanabe, Andrea Alù, Gabriele Grosso",1-December-2022,https://arxiv.org/abs/2212.00734,221200734
First Light: Switching on Stars at the Dawn of Time,Emma Chapman,1-December-2022,https://arxiv.org/abs/2212.00733,221200733
